repositorio,modelo,n,rmse,mae,acuracia_direcional
MachineLearning-MVP,ARIMA,104,0.08144520911200145,0.0270922638669599,0.5915492957746479
tcc-mvp,ARIMA,104,0.08145290469600382,0.02706411382396932,0.5915492957746479
MachineLearning-MVP,VS-ePL-KRLS,104,3.032349727488552,2.8237845306393656,0.5915492957746479
tcc-mvp,VS-ePL-KRLS,104,0.09381807125318836,0.03359587543038192,0.6338028169014085
tcc-mvp,ensemble,104,0.08421252785988141,0.028524577127204284,0.7887323943661971
ambos,persistencia,104,0.09563049883636654,0.03259615384615387,0.0
tcc-mvp,paridade (challenger),104,0.08080676622216097,0.0275209036478789,0.7183098591549296
